"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in USD, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Nov 6, 2024 7:01:19 AM PST",21985332381,Transfer,,,"To your account ending in: 303, Bank Transfer ID: 6Y7VB8OGKZ5083C",,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-393.05,-393.05
"Nov 7, 2024 11:57:44 AM PST",21985332381,Order,111-5196256-0444263,TWS-CM115SET,"YOHANSEN 115Pcs Cobalt Drill Bit Set (1/16''-1/2''), M35 High-Speed Steel, Twist Jobber Length for Hardened Metal, Stainless Steel, Cast Iron, Wood, a",1,amazon.com,Standard Orders,Amazon,AUSTIN,TX,78745,MarketplaceFacilitator,129.99,9.65,0,0,0,0,0,0,-13,0,-9.65,-17.55,-9.06,0,0,90.38
"Nov 7, 2024 6:06:42 PM PST",21985332381,FBA Inventory Fee,,,FBA storage fee,,Amazon.com,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-185.53,-185.53
"Nov 8, 2024 11:49:20 AM PST",21985332381,Service Fee,1c3ad1ee-544f-4b6a-89d5-d2b1967a0ffa,,Coupon Redemption Fee: Save 10% on 29Pcs Cobalt Black Gold Drill Bit Set,1,Amazon.com,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.6,0
"Nov 9, 2024 1:45:32 PM PST",21985332381,Service Fee,79f71e7a-6217-4a12-bb59-66ee8d254604,,Coupon Redemption Fee: Save 10% on 21Pcs Cobalt Drill Bit Set,1,Amazon.com,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.6,0
"Nov 4, 2024 8:21:28 PM PST",21860062381,Order,114-2297362-7948246,TWS-CS29SET,"YOHANSEN 29Pcs Cobalt Drill Bit Set (1/16''-1/2''), M35 High-Speed Steel, Twist Jobber Length for Hardened Metal, Stainless Steel, Cast Iron, Wood, an",1,amazon.com,,Amazon,HARKER HEIGHTS,TX,76548,MarketplaceFacilitator,54.95,0,0,0,0,0,0,0,0,0,0,0,-7.62,0,0,47.33
"Nov 5, 2024 3:12:32 PM PST",21985332381,Order,111-5837464-4762605,TWS-CF29SET,"YOHANSEN 29Pcs Cobalt Drill Bit Set, 135 Degree Tip High-Speed Steel with Black and Gold Finish, Stainless Steel, Plastic, and Wood with Metal Indexed",1,amazon.com,,Amazon,Yuma,AZ,85367,MarketplaceFacilitator,37.95,2.29,0,0,0,0,0,0,-3.8,0,-2.29,0,-7.62,0,0,26.53
"Nov 5, 2024 9:13:50 PM PST",21985332381,Order,111-1888445-4137860,TWS-CS29SET,"YOHANSEN 29Pcs Cobalt Drill Bit Set (1/16''-1/2''), M35 High-Speed Steel, Twist Jobber Length for Hardened Metal, Stainless Steel, Cast Iron, Wood, an",1,amazon.com,,Amazon,ARANSAS PASS,TX,78336,MarketplaceFacilitator,54.99,3.99,0,0,0,0,0,0,0,0,-3.99,0,-7.62,0,0,47.37
"Nov 5, 2024 10:09:59 PM PST",21985332381,Order,113-2534225-1244212,TWS-CF21SET,"YOHANSEN 21Pcs Cobalt Drill Bit Set (1/16""-3/8""), M35 High-Speed Steel, Twist Jobber Length for Hardened Metal, Stainless Steel, Cast Iron, Wood, and",1,amazon.com,,Amazon,GILLETTE,NEW JERSEY,7933,MarketplaceFacilitator,17.95,1.19,0,0,0,0,0,0,0,0,-1.19,0,-4.84,0,0,13.11
"Nov 5, 2024 11:43:07 PM PST",21985332381,Order,114-0904194-7063442,TWS-CS29SET,"YOHANSEN 29Pcs Cobalt Drill Bit Set (1/16''-1/2''), M35 High-Speed Steel, Twist Jobber Length for Hardened Metal, Stainless Steel, Cast Iron, Wood, an",1,amazon.com,,Amazon,NORFOLK,NE,68701,MarketplaceFacilitator,54.95,3.02,0,0,0,0,0,0,0,0,-3.02,0,-7.62,0,0,47.33
"Nov 6, 2024 12:29:46 AM PST",21985332381,Order,111-2085515-2956246,TWS-CF21SET,"YOHANSEN 21Pcs Cobalt Drill Bit Set (1/16""-3/8""), M35 High-Speed Steel, Twist Jobber Length for Hardened Metal, Stainless Steel, Cast Iron, Wood, and",1,amazon.com,,Amazon,SAN DIEGO,CA,92123,MarketplaceFacilitator,17.95,1.25,0,0,0,0,0,0,-1.8,0,-1.25,0,-4.84,0,0,11.31
"Nov 6, 2024 2:17:42 AM PST",21985332381,Order,114-4460222-0018636,TWS-CM115SET,"YOHANSEN 115Pcs Cobalt Drill Bit Set (1/16''-1/2''), M35 High-Speed Steel, Twist Jobber Length for Hardened Metal, Stainless Steel, Cast Iron, Wood, a",1,amazon.com,,Amazon,Tobaccoville,NC,27050,MarketplaceFacilitator,129.95,9.1,0,0,0,0,0,0,0,0,-9.1,0,-9.06,0,0,120.89
"Nov 6, 2024 10:27:45 PM PST",21985332381,Order,111-1458668-5714630,TWS-CS29SET,"YOHANSEN 29Pcs Cobalt Drill Bit Set (1/16''-1/2''), M35 High-Speed Steel, Twist Jobber Length for Hardened Metal, Stainless Steel, Cast Iron, Wood, an",1,amazon.com,,Amazon,KATY,TX,77493,MarketplaceFacilitator,54.95,0,0,0,0,0,0,0,0,0,0,0,-7.62,0,0,47.33
